constraint_type,scan1_index,scan2_index,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
0,0,1,-0.0268517,0.0116007,-0.123449,0,0,0,0
0,1,2,-0.0298043,0.0212073,-0.130177,3.19171e-05,-0.00210762,-0.00857833,0.999961
0,2,3,-0.0100511,0.00170816,-0.127914,-0.0158278,-0.045584,-0.00180083,0.998834
0,3,4,-0.0307962,0.0166653,-0.120782,-0.0215313,0.00134348,-0.00819378,0.999734
1,1,2,0.0103064,0.0109833,-0.0011192,0.000214675,-0.00018015,0.000323382,1
0,4,5,-0.0123825,-0.113773,-0.0682087,0.00555691,-0.0436141,-0.218293,0.974892
1,2,3,-0.0123529,-0.0155503,-0.00135247,-0.00034924,0.000174863,4.02137e-05,1
0,5,6,-0.0501457,-0.125248,0.000833301,-0.0140427,-0.0224984,-0.22354,0.974334
1,3,4,0.013806,0.00532302,-0.00179313,0.000471134,-0.000286039,-0.001637,0.999999
0,6,7,-0.0261313,-0.136953,0.00130014,0.000223695,-0.000810717,-0.238671,0.9711
1,4,5,-0.0582507,-0.111335,0.00541892,-0.00805971,0.00166521,-0.312163,0.949993
0,7,8,-0.000289924,-0.12803,-0.0106234,0.000919685,-0.00391568,-0.222266,0.974978
1,5,6,-0.0466717,-0.15879,-0.00279237,-0.00999757,-0.00425449,-0.280147,0.959896
0,8,9,-0.0181475,-0.109347,-0.00123973,-0.00335515,0.000737872,0.201235,-0.979537
1,6,7,-0.0146255,-0.114753,-0.00126051,-0.00248842,-0.00104708,-0.17543,0.984488
0,9,10,-0.243874,0.0189137,0.0131424,-0.00326817,-0.0287312,0.0706649,0.997081
1,7,8,-0.0041372,-0.155207,0.0102547,-0.00260941,-0.0014025,-0.252099,0.967697
0,10,11,-0.292251,-0.0357944,-0.0155447,-0.00146576,0.0213185,-0.0712855,-0.997227
1,8,9,-0.0314063,-0.112569,-0.00525091,-0.0044729,0.000843832,-0.160908,0.986959
0,11,12,-0.200013,-0.092455,0.00701858,0.0106898,0.000173148,0.22016,-0.975405
1,9,10,-0.309799,-0.0643579,0.0104128,0.00814804,-0.0202504,0.100791,0.994668
0,12,13,-0.366953,0.0031544,0.035323,0.017585,0.00890791,0.108548,0.993896
1,10,11,-0.246937,0.0227811,0.00521378,0.000313921,0.00647029,0.0270258,0.999614
0,13,14,-0.223227,0.0492764,-0.00857912,-0.00677942,0.00682476,-0.20426,-0.978869
1,11,12,-0.19738,-0.0726357,0.00666559,-0.002364,0.00258857,-0.213103,0.977023
0,14,15,-0.242042,-0.0629657,-0.0199969,-0.00691106,0.00131132,-0.0755561,0.997117
1,12,13,-0.34506,-0.0172765,0.00996144,-0.00147504,0.0107419,0.150322,0.988578
0,15,16,-0.278134,-0.0273203,0.0111064,0.00471585,-0.00319155,-0.0290151,0.999563
1,13,14,-0.213356,0.0297839,-0.00770605,0.00188035,0.002761,0.195688,0.98066
0,16,17,-0.328018,-0.0578952,0.0685751,-0.0020623,-0.0511333,0.103011,-0.993363
1,14,15,-0.215746,-0.0479329,0.0467255,0.000469268,-0.00191079,-0.10814,0.994134
0,17,18,-0.11498,-0.103007,0.00319224,-0.00569533,0.00209502,-0.211428,0.977375
1,15,16,-0.293339,-0.0223249,-0.00377298,0.00434785,0.0126754,-0.015413,0.999791
0,18,19,-0.0816027,-0.107834,0.0165711,-0.00838038,-0.0105327,-0.210305,0.977543
1,16,17,-0.342813,-0.0421467,0.0649451,-0.0242552,-0.00533011,-0.126444,0.991663
0,19,20,-0.135203,-0.00122049,-0.00619597,0.0237277,-0.00702295,0.00724909,0.999668
1,17,18,-0.122349,-0.0944234,-0.0125485,-0.00380763,0.00412043,-0.23511,0.971953
0,20,21,0.119025,0.0279757,-0.0537966,-0.00604683,-0.00307021,0.0171405,0.99983
1,18,19,-0.0887581,-0.105009,0.00995269,-0.00117288,-0.000664484,-0.197818,0.980238
0,21,22,0.218479,-0.152529,-0.0400049,-0.00122563,0.000901576,-0.202161,0.979351
1,19,20,-0.0978827,-0.00408679,-0.00597609,-0.000796029,0.0022051,0.0412837,0.999145
0,22,23,-0.0548534,0.100739,0.0139329,0.0249966,-0.00580781,0.24484,0.969224
1,20,21,0.181311,0.0279336,0.00971621,9.85786e-05,-0.00259594,-0.00184791,0.999995
0,23,24,-0.0793038,0.159379,0.000615802,0.0245531,-0.00760894,0.303226,0.952572
1,21,22,0.21889,-0.177917,0.00100476,-0.00196218,-0.00381602,-0.222227,0.974986
0,24,25,-0.0359901,0.113698,-0.0127801,0.0025947,0.00595925,-0.214801,-0.976636
1,22,23,-0.0919808,0.0751018,0.00245236,0.00339134,-0.000977801,0.305285,0.952255
0,25,26,-0.123638,0.0287116,-0.00669589,0.00453761,0.00117841,0.118308,0.992966
1,23,24,-0.0818684,0.155687,-0.0189951,0.00146873,0.004585,0.310921,0.950424
0,26,27,-0.270251,-0.0194534,-0.000129297,-0.00349991,-0.00995218,-0.0271649,0.999575
1,24,25,-0.0222635,0.107807,0.00523382,0.00397445,-0.000243654,0.186713,0.982406
0,27,28,-0.303095,-0.0252269,-0.00802492,0.00727852,0.000215024,-0.0116987,0.999905
1,25,26,-0.130565,0.024503,0.00584685,0.000989531,0.00060849,0.100969,0.994889
0,28,29,-0.336902,-0.0971683,-0.0386001,-0.0114661,-0.0128485,0.105493,0.994271
1,26,27,-0.295647,-0.0135866,-0.0175182,-0.00419812,0.00865972,-0.0226056,0.999698
0,29,30,-0.401099,-0.0204917,-0.00228794,0.0268396,0.0129628,0.0993038,0.994611
1,27,28,-0.296575,-0.0369121,0.0154195,-0.00525194,0.0027664,-0.0139687,0.999885
0,30,31,-0.38514,0.012182,0.0327029,0.095716,-0.000940442,0.0377324,0.994693
1,28,29,-0.375513,0.00370027,0.0491163,0.00344992,0.000378416,0.131665,0.991288
0,31,32,-0.177289,0.124295,0.0348505,0.0895287,-0.00937396,0.212093,0.973095
1,29,30,-0.4119,-0.0502735,0.0403895,0.0255302,0.0111581,0.0820066,0.996242
0,32,33,-0.154792,0.180916,-0.0353537,0.028366,0.00217523,0.202077,0.978956
1,30,31,-0.399521,-0.038373,0.0688643,0.017635,-0.00455983,0.0675385,0.99755
0,33,34,-0.121846,0.0495227,0.00826755,0.0244592,0.0042275,0.0181983,0.999526
1,31,32,-0.239796,0.061753,0.0508741,0.016358,0.00314939,0.257796,0.966056
0,34,35,-0.187287,0.046147,0.0251268,0.0377976,0.00476717,0.00941459,0.99923
1,32,33,-0.135981,0.157438,0.0485517,0.0146462,-0.000304695,0.194769,0.98074
0,35,36,-0.234515,0.0470833,0.0060815,0.0329615,0.00294774,0.059878,0.997657
1,33,34,-0.157371,-0.0158294,0.0251351,-0.00378963,0.0125217,0.0461235,0.99885
0,36,37,-0.302896,0.0014652,0.0554394,-0.0237531,0.00701609,0.021012,0.999472
1,34,35,-0.198467,0.127426,-0.00344485,-0.0123795,-0.000367142,0.00245248,0.99992
0,37,38,-0.31161,-0.00968704,0.00796111,-0.00136941,0.00398852,-5.21754e-05,0.999991
1,35,36,-0.234531,0.0181384,0.0179161,0.0250329,0.0113263,0.0573118,0.997978
0,38,39,-0.249287,-0.0228566,0.00769052,0.000617648,-0.00248964,0.00512605,0.999984
1,36,37,-0.321508,-0.01423,0.0360176,0.0142533,0.00355122,0.0249808,0.99958
0,39,40,-0.143466,-0.0165881,-0.0190073,0.0101501,-0.0114163,-0.0385686,0.999139
1,37,38,-0.317984,0.0107345,-0.0133913,0.00530602,0.0159294,0.018538,0.999687
0,40,41,0.00601313,-0.112418,-0.0345929,-0.00571409,-0.0117389,-0.214458,0.976646
1,38,39,-0.229238,-0.0222373,0.00707284,-0.0122332,0.00247253,-0.000533371,0.999922
0,41,42,0.0958621,-0.0708777,-0.0154359,-0.0267711,0.0205913,-0.214581,0.976122
1,39,40,-0.156474,0.00408,0.00165903,-0.0121122,0.000959271,-0.0266828,0.99957
0,42,43,-0.0188336,-0.180531,-0.0290927,-0.0202453,0.0254739,-0.250335,0.967612
1,40,41,0.0443604,-0.125345,0.0265007,-0.0118895,-0.00623886,-0.223929,0.974513
0,43,44,-0.0284962,-0.139322,-0.00849217,0.000266302,0.00605786,-0.246143,0.969214
1,41,42,-0.0498194,-0.152297,0.00213702,-0.00203824,0.00374031,-0.273212,0.961945
0,44,45,0.0383148,-0.166336,-0.0511712,0.00227871,-0.0343995,0.212292,-0.976598
1,42,43,-0.023584,-0.154848,0.0250995,-0.0211699,0.00525694,-0.283864,0.958616
0,45,46,0.0107797,-0.10629,-0.0692288,-0.0176647,0.0217601,-0.163095,0.986212
1,43,44,0.0197507,-0.193939,0.0540561,-0.0187094,-0.0173846,-0.283349,0.958677
0,46,47,-0.127808,-0.0405349,-0.0155391,-0.00341491,0.00687209,-0.0863358,0.996237
1,44,45,0.0117296,-0.117283,-0.0247019,0.0133199,0.00330267,-0.196997,0.980308
0,47,48,-0.156298,-0.0171143,-0.0237908,0.0134147,0.00902021,0.00615158,0.99985
1,45,46,0.00658942,-0.108792,0.00592545,-0.0131909,0.00208148,-0.152738,0.988176
0,48,49,-0.23339,-0.00267398,0.0114558,0.00897472,0.00498077,0.0072947,0.999921
1,46,47,-0.137819,-0.0654634,0.00654199,-0.0197536,-0.00184571,-0.0775454,0.996791
0,49,50,-0.212695,-0.0317192,0.0329151,-0.0116071,-0.00290854,-0.00843281,0.999893
1,47,48,-0.188693,-0.0376612,-0.0565581,-0.00607891,-0.00281101,0.015478,0.999858
0,50,51,-0.174123,-0.0346622,0.0142703,0.00312434,0.000413328,-0.00639157,0.999975
1,48,49,-0.217549,-0.0272477,-0.0365106,0.0166439,-0.00327562,0.000940887,0.999856
0,51,52,-0.14832,-0.0121668,-0.0128419,-0.00551834,-0.00328486,-0.00323208,0.999974
1,49,50,-0.223033,-0.0212732,-0.0245803,-0.00651001,0.00983272,-0.00354416,0.999924
0,52,53,-0.24363,-0.0317179,0.0260656,-0.00631217,0.00777906,-0.0133408,0.999861
1,50,51,-0.181347,0.0019903,-0.0240799,-0.0101798,0.00130296,0.00027994,0.999947
0,53,54,-0.211594,-0.0928575,0.0194696,-0.00698333,0.0175771,-0.188077,0.981972
1,51,52,-0.157534,-0.0246361,-0.00193414,-0.00193797,-5.35511e-05,-0.00279212,0.999994
0,54,55,-0.0852849,-0.10476,0.0172065,-0.0177382,0.00842459,-0.210554,0.977385
2,54,30,0.241719,0.0537492,0.0905418,0.0360543,0.0180332,0.891337,0.451545
1,52,53,-0.253821,-0.0409782,0.038685,-0.00602966,0.00202091,-0.0180925,0.999816
0,55,56,-0.18205,-0.0450295,0.00329632,-0.0146776,0.00508584,-0.0796578,0.996701
1,53,54,-0.200633,-0.0683762,-0.0748966,0.00181665,-0.00585588,-0.213722,0.976875
0,56,57,-0.249281,-0.105663,-0.0449188,-0.0481839,0.00873176,-0.199293,0.978716
1,54,55,-0.0799517,-0.0957202,0.0171135,-0.00301722,-0.00201787,-0.196853,0.980426
0,57,58,-0.373094,-0.0266734,0.065695,0.00464631,0.00492481,-0.117828,0.993011
1,55,56,-0.179339,-0.0480544,-0.0085887,0.00698579,0.00566729,-0.0720053,0.997364
0,58,59,-0.420937,-0.0356063,0.0271448,0.0237241,0.00389996,0.115254,0.993045
1,56,57,-0.264785,-0.0807688,-0.0711055,-0.000953347,-0.00181986,-0.226074,0.974108
0,59,60,-0.434064,-0.0564846,-0.000554666,-0.00158751,-0.0300292,-0.13815,0.989955
1,57,58,-0.368825,-0.0537701,0.0611652,0.00655149,0.00356896,-0.0792143,0.99683
0,60,61,-0.226871,-0.0719806,-0.00479955,-0.00741203,-0.0318533,-0.202537,0.978728
2,60,24,-0.0669146,-0.0257036,0.0765183,0.0259509,0.0144157,0.952758,0.302276
1,58,59,-0.435162,0.0121027,-0.0318209,0.00805184,0.0107197,0.100584,0.994838
0,61,62,-0.416648,-0.0565866,0.00129946,-0.00565766,-0.0175942,-0.154393,0.987837
1,59,60,-0.441465,-0.0184765,0.0244441,0.00157871,-0.0222078,-0.156148,0.987483
0,62,63,-0.365315,-0.0603056,0.0324874,0.00241164,-0.00624708,0.0565073,0.99838
1,60,61,-0.24815,-0.0695538,-0.0228506,-0.00278172,-0.00219939,-0.20529,0.978695
0,63,64,-0.467734,-0.0101339,0.0406037,0.00435727,0.018155,0.216451,0.976115
2,63,11,0.422224,-0.287122,-0.029826,-0.0360987,-0.0289273,-0.997993,0.0432553
1,61,62,-0.444182,-0.106743,0.0400349,0.00961798,-0.00160143,-0.141386,0.989907
0,64,65,-0.33011,0.0235648,0.0369948,0.00423454,0.0137361,0.207629,0.978102
1,62,63,-0.426274,-0.0373565,-0.00929514,-0.000273669,0.0122879,0.0650935,0.997803
0,65,66,-0.483233,-0.0586401,0.0118369,-0.00172334,2.92089e-06,0.0778608,0.996963
