constraint_type,scan1_index,scan2_index,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
0,0,1,-0.0330908,-0.160621,-0.0518549,0,0,0,0
0,1,2,-0.0577747,-0.137239,-0.0015769,-0.0031402,-0.0164338,-0.230009,0.973045
0,2,3,-0.00769547,-0.118766,-0.00171415,-0.00128159,-0.0042659,-0.201017,0.979578
0,3,4,-0.00233591,-0.1261,-0.0163298,-0.000930845,-0.00328586,-0.216085,0.976369
1,1,2,-0.0965934,-0.117484,-0.0010922,-0.00356771,-7.41951e-05,-0.234444,0.972123
0,4,5,-0.118236,-0.056339,0.0289063,0.0126822,0.0111472,0.15695,-0.987462
1,2,3,-0.00141433,-0.109596,-0.000929322,-0.00110128,-0.0010048,-0.196596,0.980483
0,5,6,-0.264686,0.0455438,-0.0132997,-0.00767419,0.022875,-0.199588,-0.979583
1,3,4,0.00710748,-0.135618,0.000943853,-0.00368761,-0.000507163,-0.210849,0.977511
0,6,7,-0.297407,-0.0990566,-0.0177587,0.00770298,0.0179992,0.177672,-0.983895
1,4,5,-0.162189,-0.139698,0.0102218,-0.00274889,0.00298477,-0.141857,0.989879
0,7,8,-0.349595,-0.00541177,0.0324839,-0.00036541,0.00704148,-0.052076,0.998618
1,5,6,-0.275723,0.0458193,0.00792686,0.00402697,0.00368416,0.212588,0.977127
0,8,9,-0.256879,0.037568,0.00895748,-0.0205349,0.00206807,-0.219103,-0.975483
1,6,7,-0.297052,-0.0833779,0.0334743,-0.00386837,-0.000437095,-0.222499,0.974925
0,9,10,-0.265122,-0.0410396,-0.0262331,-0.00235162,-0.00923087,0.0293443,0.999524
1,7,8,-0.354261,-0.064391,-0.0033523,-0.00144408,0.00784048,-0.0159479,0.999841
0,10,11,-0.24911,-0.0358977,0.0203172,0.00178235,0.00733502,-0.0747304,0.997175
1,8,9,-0.26791,0.0343697,0.00794346,0.00246099,0.00571031,0.229997,0.973172
0,11,12,-0.340621,-0.0413835,0.0559671,0.00554776,0.0449787,-0.0565847,0.997369
1,9,10,-0.25676,-0.0457068,0.00645629,-0.00531285,0.00420527,-0.0158393,0.999852
0,12,13,-0.14837,-0.0944652,0.0125319,0.00431746,-0.0084146,0.205253,-0.978663
1,10,11,-0.267945,-0.0626358,0.0145052,-0.00551765,0.00429742,-0.0519188,0.998627
0,13,14,-0.0796152,-0.113318,0.0109286,-0.00946843,-0.00811651,-0.215027,0.976528
1,11,12,-0.358903,-0.00869821,0.0288139,0.0104971,0.00764342,-0.0832306,0.996446
0,14,15,-0.143665,-0.0276815,-0.00645849,0.0211685,-0.0149505,-0.051493,0.998337
1,12,13,-0.150554,-0.0793623,-0.0064364,-0.000704382,0.0028543,-0.243401,0.969921
0,15,16,0.1089,0.0418272,-0.052584,-0.00465148,-0.00168287,0.0295994,0.99955
1,13,14,-0.0851677,-0.109355,0.0168417,-0.00632981,-0.00109433,-0.211274,0.977406
0,16,17,0.218479,-0.152529,-0.040005,-0.00122564,0.000901595,-0.202161,0.979351
1,14,15,-0.207477,-0.060641,0.0162636,0.00317656,-0.00123269,-0.000176754,0.999994
0,17,18,-0.0548533,0.100739,0.0139329,0.0249966,-0.00580781,0.24484,0.969224
1,15,16,0.161629,0.0233161,0.00961312,0.000932839,-0.00331589,0.00488178,0.999982
0,18,19,-0.053025,0.132248,0.0032687,0.0261122,-0.00412639,0.24521,0.96911
1,16,17,0.208936,-0.191129,-0.0246206,-0.00785944,0.00490262,-0.222682,0.974847
0,19,20,-0.0414459,0.114531,-0.0186808,0.00559867,0.0108901,-0.210804,-0.977452
1,17,18,-0.0953246,0.0818596,0.00204994,0.00328573,0.000425617,0.306054,0.952008
0,20,21,-0.113659,0.0560394,-0.00195235,0.00692778,0.00837939,0.179218,0.983749
1,18,19,-0.0573552,0.128186,0.0288828,0.00340777,-0.00334134,0.256951,0.966413
0,21,22,-0.262148,-0.0211511,-0.00667627,-0.0023822,-0.0164332,-0.0214461,0.999632
1,19,20,-0.0146887,0.0997856,-0.00318552,0.00110513,0.000821198,0.18422,0.982884
0,22,23,-0.301733,-0.0245207,-0.00311645,0.00531325,0.00310457,-0.0147511,0.999872
1,20,21,-0.115104,0.0428166,0.0114906,0.0150389,0.00587626,0.156395,0.987563
0,23,24,-0.333546,-0.0881034,-0.0354775,-0.0110023,-0.01388,0.0859928,0.996138
3,10,20,-0.764816,-0.213294,0.0760687,0.00913195,0.00200542,-0.057486,0.998303
1,21,22,-0.273512,-0.0204934,0.0442254,0.000242329,0.000402084,-0.0218407,0.999761
0,24,25,-0.362969,-0.017093,0.0129398,0.0151155,0.0150721,0.12338,0.99213
3,11,21,-0.533499,-0.321693,0.0664002,0.0312524,0.000890043,0.150921,0.988051
1,22,23,-0.292514,-0.0277566,0.00246668,-0.00890255,0.00301163,-0.0114678,0.99989
0,25,26,-0.4238,0.00213581,0.000553463,0.0956474,-0.00483359,0.015724,0.995279
3,12,22,-0.476687,-0.204487,0.0854548,0.0236802,-0.0124114,0.210873,0.977148
1,23,24,-0.363057,-0.0436204,0.030893,-0.00175321,0.000683025,0.103405,0.994638
0,26,27,-0.186093,0.0949743,0.057673,0.0979184,-0.0106919,0.193176,0.976207
3,13,23,-0.666405,-0.0811738,0.108109,0.0153051,-0.0132926,0.432085,0.901605
1,24,25,-0.429511,0.00428664,0.0541929,0.0229025,0.011813,0.109974,0.9936
0,27,28,-0.153632,0.183068,-0.0426104,0.018975,0.00519315,0.20444,0.978681
3,12,23,-0.773812,-0.212814,0.0962443,0.0153619,-0.00804938,0.199638,0.979716
1,25,26,-0.392817,-0.0698273,-0.0133535,-0.00168336,0.00250764,0.043021,0.99907
0,28,29,-0.108791,0.0712453,-0.00450923,0.0389222,0.00446179,0.0531148,0.99782
3,11,22,-0.821094,-0.306669,0.111151,0.0315485,0.000580731,0.129292,0.991104
1,26,27,-0.219091,0.0449146,-0.023588,0.0155925,-0.0117178,0.233764,0.972098
0,29,30,-0.167966,0.0433026,0.0213266,0.0258253,0.00442364,-0.00159659,0.999655
3,10,21,-0.78352,-0.436815,0.0792308,0.0247417,0.00527488,0.0994903,0.994717
1,27,28,-0.170108,0.0809914,-0.0188234,-0.0208277,0.0137088,0.215145,0.976264
0,30,31,-0.219746,0.0463977,0.00179887,0.0358972,0.000131888,0.0583078,0.997653
3,9,19,-1.02118,0.0657413,0.0881778,0.00372828,0.00520044,-0.25576,0.966719
1,28,29,-0.0907845,0.0922815,-0.00421507,-0.00017532,0.0119206,0.0363916,0.999266
0,31,32,-0.287803,0.0139367,0.0507382,-0.00945943,0.00683796,0.0311001,0.999448
3,13,24,-0.981536,-0.333412,0.141808,0.0156219,-0.0100304,0.523002,0.852129
1,29,30,-0.172466,0.0759508,-0.0206447,-0.00735393,-0.000936411,0.00192131,0.999971
0,32,33,-0.315884,-0.0116876,0.0275129,-0.00851635,0.00383383,0.0029197,0.999952
3,9,20,-1.0254,-0.221046,0.0856833,0.00389634,0.00649088,-0.0732863,0.997282
1,30,31,-0.203336,0.0741984,0.00466206,0.0103404,0.00644892,0.0533725,0.9985
0,33,34,-0.267313,-0.0161256,-0.00147213,0.00300603,0.000440309,0.00289872,0.999991
3,14,24,-1.04047,-0.207423,0.129589,0.0157889,-0.00724838,0.691307,0.722353
1,31,32,-0.285507,0.000310331,0.0371349,0.0151827,0.000384635,0.0273186,0.999511
0,34,35,-0.196166,-0.025002,-0.00329604,0.0084324,-0.0128961,-0.0335835,0.999317
3,10,22,-1.07589,-0.410769,0.124141,0.0251154,0.00512102,0.0777324,0.996645
1,32,33,-0.325523,-0.0253221,0.000676517,-0.00529963,-0.0199222,0.00115662,0.999787
0,35,36,-0.00604035,-0.111561,-0.042313,-0.00464114,-0.0105061,-0.218016,0.975878
3,9,21,-1.02888,-0.525042,0.0877605,0.018838,0.00913882,0.0838043,0.996262
1,33,34,-0.280714,0.0324226,-0.012909,-0.000539492,0.00549418,0.0174637,0.999832
0,36,37,0.0958618,-0.0708774,-0.0154356,-0.026771,0.0205912,-0.214581,0.976122
3,11,23,-1.12032,-0.306542,0.125637,0.0230249,0.00415814,0.117767,0.992766
1,34,35,-0.208257,-0.0259933,0.0441807,-0.0115549,0.0012403,-0.0413715,0.999076
